GEO_ID,PopTot_10E,PopTot_10M,PopTot_10C,LFTot_10E,LFTot_10M,LFTot_10C,LF2554_10E,LF2554_10M,LF2554_10C,LFO65_10E,LFO65_10M,LFO65_10C,PopTot_18E,PopTot_18M,PopTot_18C,PopFB_18E,PopFB_18M,PopFB_18C,PopFBP_18E,PopFBP_18M,PopFBP_18C,LFTot_18E,LFTot_18M,LFTot_18C,LF2554_18E,LF2554_18M,LF2554_18C,LFO65_18E,LFO65_18M,LFO65_18C,HouTot_18E,HouTot_18M,HouTot_18C,HouO_18E,HouO_18M,HouO_18C,HouR_18E,HouR_18M,HouR_18C,HouV_18E,HouV_18M,HouV_18C,Hou1U_18E,Hou1U_18M,Hou1U_18C,Hou24U_18E,Hou24U_18M,Hou24U_18C,Hou5U_18E,Hou5U_18M,Hou5U_18C,PopTot_1018E,PopTot_1018M,PopTot_1018C,LFTot_1018E,LFTot_1018M,LFTot_1018C,LF2554_1018E,LF2554_1018M,LF2554_1018C,LFO65_1018E,LFO65_1018M,LFO65_1018C
0600000US3403507720,44234.0,39.0,0.05359724801494346,23539.0,526.0,1.3584130120471347,17146.0,653.655872764867,2.3175037511380605,987.0,184.55622449540954,11.366994299474293,44726.0,47.0,0.06388102797350215,11401.0,721.0,3.844380952025485,0.2549076599740643,0.016118151711549483,3.8438501685889666,24477.0,477.0,1.1846615388455362,14949.0,663.3151588800002,2.6973784174399653,1477.0,236.9936708015638,9.754170669683425,15843.0,363.0,1.3928466389517045,12912.0,387.0,1.822013310584061,2456.0,309.0,7.648287674623526,475.0,171.0,21.88449848024316,12931.0,402.5878786054046,1.892616755923383,667.0,176.70597047072292,16.10495394892732,2245.0,289.66359798911566,7.8435320093721455,492.0,61.07372593840988,7.54611485141101,938.0,710.0739398119043,46.01875164852491,-2197.0,931.264194522693,25.767776576312073,490.0,300.3780950735256,37.26544197922283
0600000US3403522890,848.0,99.0,7.096977691116592,388.0,63.0,9.870585654748849,260.0,132.93607486307093,31.081616755452636,43.0,124.09673645990857,175.43894318217085,860.0,79.0,5.584222803421221,100.0,34.0,20.66869300911854,0.11627906976744186,0.038064598629913605,19.900033326277022,439.0,65.0,9.000837770284772,259.0,45.066617356974994,10.577652499554047,54.0,22.40535650240808,25.222736127893818,371.0,27.0,4.424089989267486,253.0,27.0,6.487499549479198,74.0,20.0,16.429803663846215,44.0,20.0,27.631942525559545,320.0,33.28663395418648,6.32344869950351,13.0,10.295630140987,48.14416713110592,35.0,22.0,38.21102909248806,12.0,126.65701717630967,641.6262268303428,51.0,90.52071586106685,107.89762901372771,-1.0,140.36737512684348,8532.971132330911,11.0,126.1031323956705,696.8949013300388
0600000US3403524900,60354.0,46.0,0.04633251455722282,33693.0,612.0,1.1041951567510573,24340.0,868.2914257321675,2.168597916877087,1273.0,196.48918545304218,9.383056822098538,65452.0,56.0,0.05201147893340061,19347.0,1223.0,3.842792399817569,0.2955906618590723,0.018683737295463857,3.842440400859178,35398.0,898.0,1.5421680788037584,23352.0,961.819109812235,2.50382180528847,2211.0,308.8769981724117,8.49240941389795,26867.0,601.0,1.3598449550487526,17419.0,657.0,2.2928531905645424,7051.0,501.0,4.319376975134269,2397.0,404.0,10.245836677812818,18883.0,819.7273937108604,2.6389584549711103,1878.0,336.48179742743883,10.891810709428281,6088.0,542.2204348786571,5.414212970442198,5098.0,72.47068372797375,0.864164905576819,1705.0,1086.7143138838285,38.745841887665584,-988.0,1295.7723565503318,79.72708099321535,938.0,366.0778605706715,23.724918216386897
0600000US3403527510,7125.0,143.0,1.2200714552338292,3741.0,256.0,4.159933181073279,2738.0,287.81417616232875,6.390176224349607,123.0,141.1382301150188,69.75472860109167,7158.0,160.0,1.3588214262359541,1982.0,326.0,9.998803824082394,0.2768929868678402,0.04512093126999621,9.906042713621158,4193.0,263.0,3.8129840079391255,2378.0,281.8332840528244,7.204677222381058,248.0,105.31856436545269,25.815904590021738,2272.0,105.0,2.809409649385676,2083.0,113.0,3.2977920844234774,123.0,78.0,38.549929572244054,66.0,76.0,70.00092106475086,2080.0,144.5856147754679,4.225672631969485,55.0,48.104053883222775,53.168338085905255,137.0,73.41661937191061,32.57676186271631,33.0,214.59030733003763,395.303135912384,452.0,367.02179771779225,49.36140593885901,-360.0,402.8237828132793,68.02157764493066,125.0,176.10224302944016,85.64242822100432
0600000US3403531890,38050.0,64.0,0.10224908035739248,21599.0,553.0,1.5564156338995205,15664.0,676.538247255837,2.6255710624320336,595.0,140.12851244482687,14.316723705123941,39397.0,79.0,0.12189840878600526,7797.0,561.0,4.373905792618391,0.19790847018808538,0.014234131821288206,4.372206841017034,23110.0,594.0,1.562502055058469,14678.0,622.3053912670209,2.5773344441095225,1072.0,218.3575050232989,12.382474312894054,14597.0,354.0,1.474258877776651,11477.0,363.0,1.9227036072938792,2113.0,248.0,7.134873564574202,1007.0,238.0,14.367512518751715,12383.0,480.52055106935853,2.358957905911102,524.0,178.75122377203465,20.73728204506307,1683.0,270.12959852633696,9.757131426055187,1347.0,101.67103815738285,4.5884262972036405,1511.0,811.569467143756,32.65091324788455,-986.0,919.2214096723378,56.67314498248043,477.0,259.4532713226025,33.065482890482244
0600000US3403543620,10364.0,26.0,0.15250358090139,5848.0,263.0,2.7338991014515654,4173.0,392.6601584067322,5.720085896040797,155.0,140.29611541307906,55.02347893443634,10283.0,28.0,0.16552831465277332,1953.0,403.0,12.544024702079412,0.18992511912865895,0.03918748531604123,12.542932516099523,5715.0,351.0,3.733575856209463,3555.0,367.40713112295464,6.282638539373965,234.0,92.11405973031478,23.93008072384973,4305.0,300.0,4.236255996949896,2505.0,277.0,6.72211807388263,1280.0,193.0,9.166033434650455,520.0,186.0,21.744213233574936,2983.0,291.37089765451867,5.937819837325771,946.0,197.22575896672322,12.673792642624084,376.0,136.57598617619425,22.081094576762958,-81.0,38.2099463490856,28.676457915183008,-133.0,438.60004559963284,200.47080265997798,-618.0,537.7452928664276,52.895927923827976,79.0,167.833250579258,129.14720524739946
0600000US3403546590,411.0,73.0,10.797299196118889,213.0,42.0,11.98681450404555,144.0,29.0516780926679,12.264301795283645,14.0,213.32838535928593,926.306493092861,500.0,88.0,10.699088145896656,28.0,13.0,28.22405557967868,0.056,0.024059494259023817,26.117557814832626,234.0,49.0,12.729587197672304,142.0,30.23243291566195,12.942520191644311,23.0,19.157244060668017,50.6336568274561,167.0,24.0,8.736326738620024,138.0,19.0,8.369675344698472,16.0,10.0,37.993920972644375,13.0,12.0,56.11409866729016,154.0,19.924858845171276,7.865179349137992,13.0,10.44030650891055,48.820699129813185,0.0,20.784609690826528,0.0,89.0,114.33722053644648,78.0965271243786,21.0,64.53681120105021,186.819543207556,-2.0,41.92851058647326,1274.4228141785184,9.0,214.18683432928364,1446.719583446698
0600000US3403547580,21435.0,30.0,0.08508085872110707,10523.0,439.0,2.53605721668587,7629.0,441.41250548664794,3.5173137973095616,262.0,92.30926280715278,21.417959304659682,22955.0,34.0,0.09004004795956672,7258.0,531.0,4.447455946315605,0.3161838379438031,0.0231274740955126,4.446544409334228,12128.0,379.0,1.8996960486322187,7613.0,407.2186145057713,3.2516656998548816,766.0,153.0686120666154,12.147627676765211,7862.0,225.0,1.7397369053869214,6253.0,268.0,2.6054363206572697,1353.0,211.0,9.48022743559848,256.0,141.0,33.482142857142854,6584.0,270.29243422633937,2.495618319683892,135.0,83.74365647617735,37.7096280428582,1132.0,230.75094799371897,12.39170781969771,1520.0,45.34313619501854,1.813435298153037,1605.0,579.9672404541484,21.966583925769523,-16.0,600.5597389102936,2281.761925950964,504.0,178.74842656650154,21.559852676038684
0600000US3403553280,21932.0,31.0,0.08592460697807593,12935.0,478.0,2.246443815993693,9168.0,575.3129583105182,3.814728633959525,484.0,117.42231474468556,14.74821205565143,21640.0,34.0,0.09551152037485464,7007.0,615.0,5.33552422393065,0.3237985212569316,0.02841503948240788,5.33466927687429,12947.0,536.0,2.5166900923874116,8866.0,596.7109853186885,4.091385521264518,570.0,137.21151555172037,14.63355362360373,7829.0,338.0,2.62448747758412,3952.0,305.0,4.691557043180784,3472.0,327.0,5.725351224910005,405.0,166.0,24.91650718601073,4049.0,298.2767171604247,4.478222581288407,2113.0,325.39975414864716,9.3616375152989,1667.0,326.3632945047589,11.90144808137797,-292.0,46.010868281309364,9.578812566371605,12.0,718.1782508542012,3638.187694296865,-302.0,828.8841897394352,166.8480021215071,86.0,180.5962347337286,127.65691293824035
0600000US3403557300,2562.0,25.0,0.5931915842723556,1285.0,155.0,7.332678911451988,880.0,195.15634757803807,13.481372449436174,120.0,184.54267799075637,93.48666564881275,2566.0,19.0,0.45012283615291854,272.0,89.0,19.890935097443233,0.10600155884645363,0.0346754515953182,19.88584140747061,1138.0,135.0,7.2114999385687035,641.0,114.3241006962224,10.84211131886655,128.0,47.095647357266465,22.366853798093874,895.0,112.0,7.6072744561987395,670.0,91.0,8.256589393458242,169.0,79.0,28.416755094332835,56.0,45.0,48.849326964828485,781.0,110.76551810017412,8.621595577346017,82.0,65.62011886609167,48.64713386173302,32.0,42.01190307520001,79.80984626747723,4.0,31.400636936215164,477.2133272981028,-147.0,205.54804791094466,85.00219089425579,-239.0,226.1769218996492,57.52869018571535,8.0,190.45734430575263,1447.2442576424971
